id,name,age,address,phone
1,Виссарион Огарев,26,ул. Ордынка М. 1108,+7-943-980-0050
2,Гордей Брагин,38,ул. Коммунистическая 847,+7-928-427-6017
3,Лукьян Артёмов,26,ул. Лапина 1121,+7-956-078-2824
4,Никита Арановский,32,ул. Чоботовская 3-я 577,+7-912-979-7010
5,Якун Бабиков,36,Аллея Барабанная 886,+7-906-960-4302
6,Аркадий Прашкевич,38,Аллея Воронцовские Пруды 293,+7-942-907-0964
7,Харитон Гиляровский,64,ул. Дмитрия Ульянова 841,+7-906-408-2562
8,Евдоким Пестов,63,Аллея Медиков 653,+7-935-048-2074
9,Ждан Белых,46,ул. Зубовская 1232,+7-959-459-1297
10,Ермолай Владимиров,45,ул. Трехгорный Вал 404,+7-980-085-7701
11,Виталий Якимов,23,Аллея Тамбовская 283,+7-952-141-9265
12,Юстин Беленький,19,Аллея Госпитальный Вал 327,+7-978-635-8125
13,Алексей Анненков,55,Аллея Терлецкая 678,+7-995-874-3516
14,Назар Пришвин,17,Аллея Съезжинская 1138,+7-979-426-6642
15,Фотий Громов,49,Аллея Хамовнический Вал 975,+7-944-930-1491
16,Павел Троцкий,53,ул. Кетчерская 1197,+7-971-014-2447
17,Платон Зябликов,35,ул. Просвещения 700,+7-945-146-8367
18,Зиновий Луппол,58,ул. Лазенки 7-я 1332,+7-995-272-7525
19,Акакий Богданов,39,ул. Лескова 1376,+7-979-165-3542
20,Трофим Мурманский,43,ул. Кабельная 4-я 538,+7-990-118-7077
21,Корнилий Чехов,34,ул. Стройковская 473,+7-956-007-1075
22,Фотий Слюньков,63,ул. Кантемировская 761,+7-923-597-0697
23,Никон Хемлин,38,Аллея Лужская 1311,+7-903-719-2665
24,Спиридон Кошелёв,41,Аллея Сальвадора Альенде 1243,+7-964-077-8436
25,Потап Моисеев,47,ул. Новохохловская 530,+7-982-163-8507
26,Юрий Кудряшов,22,ул. Саперная 290,+7-960-958-8269
27,Мирон Кругосветов,25,Аллея Михайловка 50,+7-996-036-5876
28,Протасий Люкин,44,ул. Стройковская 932,+7-997-785-7731
29,Юстин Левонов,23,Аллея Политехническая 36,+7-911-679-7098
30,Тимур Ремнёв,25,ул. Радищевская Верхн. 384,+7-970-467-1201
31,Венедикт Могила,17,ул. Выставочная 91,+7-986-577-7353
32,Созон Сахарнов,38,ул. Кочновская 1168,+7-910-482-7347
33,Акакий Кандель,38,ул. Защитников Неба 555,+7-949-188-2949
34,Емельян Мартытов,31,ул. Яузская 204,+7-956-721-2040
35,Сильвестр Порфирьев,55,Аллея Луганская 1036,+7-999-758-2602
36,Фирс Семёнов,53,Аллея Востряковская 1277,+7-980-182-8791
37,Самуил Кошелёв,20,Аллея Парковая 8-я 138,+7-911-731-7235
38,Пётр Витязев,38,Аллея Добровольческая 721,+7-905-963-0333
39,Исидор Елизарьев,59,ул. Каменщики М. 795,+7-987-138-6781
40,Артур Омельчук,17,Аллея Екатерининская Б. 601,+7-909-671-2805
41,Ким Евплов,40,ул. Абельмановская Застава 645,+7-940-784-3149
42,Ириней Булычев,37,Аллея Госпитальный Вал 733,+7-955-185-6009
43,Анфим Нетёсов,62,Аллея Чоботовская 2-я 529,+7-999-533-0282
44,Конон Крамаренко,26,Аллея Предтеченский Верхн. 1103,+7-949-022-0050
45,Герасим Шпанов,62,ул. Сивяков 489,+7-941-364-8804
46,Владислав Силин,25,Аллея Маршала Захарова 349,+7-958-375-5996
47,Пахомий Демидов,40,Аллея Холмогорская 1264,+7-970-648-5951
48,Корнилий Васечкин,21,Аллея Милашенкова 1356,+7-900-834-7351
49,Добрыня Арбитман,37,ул. Коммунистическая 463,+7-985-184-7222
50,Леонтий Семенов,19,Аллея Новые Черемушки 32а 452,+7-925-214-3886
51,Климент Брагин,22,ул. Даниловский Вал 360,+7-957-748-4543
52,Прокопий Филимонихин,56,ул. Введенского 106,+7-950-501-1237
53,Виссарион Пименов,59,ул. Черногрязская 2-я 855,+7-947-552-0384
54,Константин Лепёхин,59,Аллея Лизы Чайкиной 1256,+7-963-456-5370
55,Тихон Бобков,17,Аллея Буракова 567,+7-988-115-3020
56,Демьян Ремизов,40,ул. Синичкина 2-я 874,+7-977-314-4222
57,Прохор Сычев,53,ул. Студеная 740,+7-937-154-6982
58,Богдан Яковлев,28,Аллея Можайский Вал 820,+7-998-924-2001
59,Анатолий Агутин,47,ул. Верхние Поля 83,+7-958-869-2083
60,Харитон Крылов,24,ул. Причальная 1349,+7-922-195-2527
61,Игнатий Басинский,23,Аллея Энергетическая 953,+7-974-645-9396
62,Леонид Ненароков,49,ул. Амурская 1048,+7-942-174-4804
63,Варфоломей Орлов,26,ул. Оленая 244,+7-903-272-4171
64,Мстислав Белов,61,Аллея Садовая-Триумфальная 477,+7-947-433-8768
65,Олег Светлов,23,ул. Савеловская 248,+7-948-425-5339
66,Святополк Киркиж,59,ул. Новозаводская 729,+7-994-984-5601
67,Андрей Бормор,29,ул. Вспольная 1239,+7-932-166-6395
